iter	Logloss
0	0.578254278
1	0.4858288411
2	0.4130876829
3	0.3578440372
4	0.3192079588
5	0.2894831139
6	0.2652249382
7	0.246626738
8	0.2340488172
9	0.223206079
10	0.215434365
11	0.2069707514
12	0.1998427701
13	0.1951286146
14	0.1917167849
15	0.1881444163
16	0.1856768767
17	0.1829899466
18	0.1807736569
19	0.1792200589
20	0.1774313442
21	0.1757566231
22	0.1740166822
23	0.1730194758
24	0.1721227662
25	0.1711820233
26	0.1705728125
27	0.1693492401
28	0.1684641872
29	0.1677305171
30	0.1672201116
31	0.1665201423
32	0.1657132015
33	0.1650508851
34	0.1637088219
35	0.1627919749
36	0.162228522
37	0.1614919328
38	0.1611206287
39	0.1608161582
40	0.1602319494
41	0.1599948067
42	0.1588538536
43	0.1585044414
44	0.1582418139
45	0.1580687518
46	0.1575045577
47	0.1573294268
48	0.1569184465
49	0.1561390681
50	0.1559550341
51	0.1556268574
52	0.1554742478
53	0.15524719
54	0.1551317044
55	0.1549881855
56	0.1548512553
57	0.1546302848
58	0.1544062662
59	0.1542029235
60	0.154112907
61	0.1534806353
62	0.1532947721
63	0.1530736207
64	0.1529265273
65	0.1528506683
66	0.1526741102
67	0.1520861198
68	0.1515772923
69	0.1515317454
70	0.1514430344
71	0.151257504
72	0.150780792
73	0.1505868698
74	0.1504758063
75	0.1503450537
76	0.1503246411
77	0.1502542048
78	0.1502001463
79	0.150013307
80	0.1498208853
81	0.1496493385
82	0.1495684946
83	0.1492580714
84	0.1491577907
85	0.148983685
86	0.1488604011
87	0.1487842424
88	0.1486275082
89	0.1485676894
90	0.1484739379
91	0.1482815016
92	0.1480096562
93	0.1478394202
94	0.1469951941
95	0.1468550223
96	0.1466964015
97	0.146593331
98	0.1464699105
99	0.1463094413
100	0.146217388
101	0.1459800225
102	0.1459357001
103	0.1458013859
104	0.1455987176
105	0.1453575309
106	0.1449163481
107	0.144719774
108	0.144489417
109	0.1442349803
110	0.1437284373
111	0.1435121401
112	0.143313635
113	0.143143133
114	0.1429970966
115	0.1427091016
116	0.1425591931
117	0.142218986
118	0.1419685199
119	0.1418292935
120	0.1416043317
121	0.1413595341
122	0.1411855808
123	0.1409171197
124	0.1406425198
125	0.1403890119
126	0.1401476169
127	0.1399929073
128	0.1397675453
129	0.1394983248
130	0.1392927294
131	0.139008652
132	0.1388177337
133	0.1385919329
134	0.1383097457
135	0.1380599757
136	0.1378973252
137	0.1377053032
138	0.1375272162
139	0.1368870907
140	0.1366397959
141	0.1363490314
142	0.1360143555
143	0.1358688306
144	0.1356576172
145	0.1353554372
146	0.1352638111
147	0.1350501808
148	0.134873389
149	0.1345963346
150	0.1343639966
151	0.1341510996
152	0.1335740599
153	0.133186053
154	0.1328430212
155	0.1327238825
156	0.1325125781
157	0.1323107861
158	0.132084447
159	0.1319074795
160	0.1316995227
161	0.1315898278
162	0.1315305274
163	0.1314923715
164	0.1312980242
165	0.1310879905
166	0.1309277413
167	0.1306244961
168	0.1304314793
169	0.1303203823
170	0.1302322696
171	0.1300105591
172	0.1297186213
173	0.1295819624
174	0.129474639
175	0.1292874516
176	0.1290307823
177	0.1288643463
178	0.1288454989
179	0.1285431423
180	0.1283949278
181	0.1281470474
182	0.1279837821
183	0.1277849786
184	0.1276399477
185	0.1274636877
186	0.1273299195
187	0.126979042
188	0.1267847302
189	0.1266717625
190	0.1265950912
191	0.1264516129
192	0.1263338455
193	0.1262201192
194	0.1260040444
195	0.1259402253
196	0.1257411047
197	0.1256045714
198	0.1254435835
199	0.1253333267
200	0.1251681237
201	0.1250653871
202	0.1247104825
203	0.1246203445
204	0.1244533677
205	0.1242652725
206	0.1240315204
207	0.1238792563
208	0.1237730889
209	0.1234851557
210	0.1232515419
211	0.1230788343
212	0.1229097351
213	0.1227326417
214	0.1224004282
215	0.122133074
216	0.1219790096
217	0.1218787276
218	0.1216912699
219	0.1215317269
220	0.1212271526
221	0.1209924371
222	0.120965766
223	0.1208119903
224	0.1206750494
225	0.1205889349
226	0.1204895103
227	0.1203790221
228	0.1202832565
229	0.1201265577
230	0.1199863473
231	0.1198666314
232	0.1198314085
233	0.1196517152
234	0.1194748502
235	0.1194236781
236	0.1193511453
237	0.1191892759
238	0.1189900217
239	0.1189142526
240	0.1188173979
241	0.1186017834
242	0.1183113926
243	0.1181766301
244	0.1180136048
245	0.1179295197
246	0.1177468183
247	0.1176554165
248	0.1174376431
249	0.1172684256
250	0.1171066983
251	0.1169697514
252	0.1169145989
253	0.1168603796
254	0.1167041594
255	0.1165222071
256	0.1164592546
257	0.1162287912
258	0.1161927584
259	0.11600909
260	0.1158230387
261	0.1156820148
262	0.1155979046
263	0.1154301351
264	0.1152826305
265	0.1151803588
266	0.1151166514
267	0.1149394554
268	0.1147241724
269	0.1145664763
270	0.1144451279
271	0.1143434137
272	0.1141968555
273	0.1140984328
274	0.1138465055
275	0.1136684801
276	0.1134105425
277	0.1133406013
278	0.1132783386
279	0.1131420053
280	0.1130691817
281	0.1129950916
282	0.1128351081
283	0.1127620944
284	0.1126821169
285	0.1126366684
286	0.1125193056
287	0.112328136
288	0.1121870084
289	0.1119809378
290	0.1118479393
291	0.1117205821
292	0.1115926538
293	0.1114548474
294	0.1112878579
295	0.1111286087
296	0.1109800316
297	0.1108775545
298	0.1107110853
299	0.1106212119
